task_id,solved_count,total_evals,train_conv_count,test_succ_count,solve_rate,train_conv_rate
00576224,7,9,7,7,0.7777777777777778,0.7777777777777778
009d5c81,5,9,6,5,0.5555555555555556,0.6666666666666666
00dbd492,6,9,6,6,0.6666666666666666,0.6666666666666666
03560426,6,9,6,6,0.6666666666666666,0.6666666666666666
05a7bcf2,1,9,2,1,0.1111111111111111,0.2222222222222222
0607ce86,4,9,4,4,0.4444444444444444,0.4444444444444444
0692e18c,6,9,6,6,0.6666666666666666,0.6666666666666666
070dd51e,4,9,4,4,0.4444444444444444,0.4444444444444444
08573cc6,3,9,4,3,0.3333333333333333,0.4444444444444444
0934a4d8,0,9,2,0,0.0,0.2222222222222222
09c534e7,3,9,3,3,0.3333333333333333,0.3333333333333333
0a1d4ef5,3,9,3,4,0.3333333333333333,0.3333333333333333
0a2355a6,2,9,2,2,0.2222222222222222,0.2222222222222222
0b17323b,7,9,7,7,0.7777777777777778,0.7777777777777778
0bb8deee,6,9,6,6,0.6666666666666666,0.6666666666666666
0becf7df,5,9,5,5,0.5555555555555556,0.5555555555555556
0c786b71,9,9,9,9,1.0,1.0
0c9aba6e,6,9,6,6,0.6666666666666666,0.6666666666666666
0d87d2a6,0,9,5,0,0.0,0.5555555555555556
0e671a1a,5,9,5,5,0.5555555555555556,0.5555555555555556
0f63c0b9,4,9,4,4,0.4444444444444444,0.4444444444444444
103eff5b,3,9,3,3,0.3333333333333333,0.3333333333333333
11e1fe23,2,9,6,2,0.2222222222222222,0.6666666666666666
12422b43,5,9,5,5,0.5555555555555556,0.5555555555555556
12997ef3,6,9,6,6,0.6666666666666666,0.6666666666666666
12eac192,4,9,4,4,0.4444444444444444,0.4444444444444444
136b0064,2,9,4,2,0.2222222222222222,0.4444444444444444
13713586,4,9,4,4,0.4444444444444444,0.4444444444444444
137f0df0,5,9,5,5,0.5555555555555556,0.5555555555555556
140c817e,6,9,6,6,0.6666666666666666,0.6666666666666666
14754a24,2,9,2,2,0.2222222222222222,0.2222222222222222
15113be4,3,9,3,3,0.3333333333333333,0.3333333333333333
15663ba9,3,9,3,3,0.3333333333333333,0.3333333333333333
15696249,4,9,6,4,0.4444444444444444,0.6666666666666666
16b78196,0,9,2,0,0.0,0.2222222222222222
17b80ad2,4,9,4,4,0.4444444444444444,0.4444444444444444
17cae0c1,6,9,7,6,0.6666666666666666,0.7777777777777778
18419cfa,4,9,4,4,0.4444444444444444,0.4444444444444444
184a9768,1,9,1,1,0.1111111111111111,0.1111111111111111
195ba7dc,7,9,7,7,0.7777777777777778,0.7777777777777778
1990f7a8,4,9,5,4,0.4444444444444444,0.5555555555555556
19bb5feb,7,9,7,7,0.7777777777777778,0.7777777777777778
1a2e2828,7,9,7,7,0.7777777777777778,0.7777777777777778
1a6449f1,5,9,5,6,0.5555555555555556,0.5555555555555556
1acc24af,0,9,3,0,0.0,0.3333333333333333
1c02dbbe,5,9,5,5,0.5555555555555556,0.5555555555555556
1c0d0a4b,6,9,6,6,0.6666666666666666,0.6666666666666666
1c56ad9f,3,9,4,3,0.3333333333333333,0.4444444444444444
1d0a4b61,3,9,3,3,0.3333333333333333,0.3333333333333333
1d398264,4,9,5,4,0.4444444444444444,0.5555555555555556
1da012fc,0,9,5,0,0.0,0.5555555555555556
1e81d6f9,4,9,4,4,0.4444444444444444,0.4444444444444444
1e97544e,3,9,3,3,0.3333333333333333,0.3333333333333333
2037f2c7,3,9,4,3,0.3333333333333333,0.4444444444444444
2072aba6,9,9,9,9,1.0,1.0
20818e16,3,9,3,3,0.3333333333333333,0.3333333333333333
20981f0e,4,9,4,4,0.4444444444444444,0.4444444444444444
212895b5,1,9,1,1,0.1111111111111111,0.1111111111111111
21f83797,7,9,7,7,0.7777777777777778,0.7777777777777778
22a4bbc2,4,9,4,4,0.4444444444444444,0.4444444444444444
25094a63,1,9,4,1,0.1111111111111111,0.4444444444444444
2546ccf6,2,9,4,2,0.2222222222222222,0.4444444444444444
256b0a75,3,9,3,3,0.3333333333333333,0.3333333333333333
2685904e,6,9,6,6,0.6666666666666666,0.6666666666666666
2697da3f,4,9,4,4,0.4444444444444444,0.4444444444444444
2753e76c,4,9,4,4,0.4444444444444444,0.4444444444444444
27a77e38,4,9,6,4,0.4444444444444444,0.6666666666666666
27f8ce4f,8,9,8,8,0.8888888888888888,0.8888888888888888
281123b4,6,9,6,6,0.6666666666666666,0.6666666666666666
